context_length,d_model,regular_attn_forward_ms,regular_attn_backward_ms,regular_attn_total_ms,flash_attn_triton_forward_ms,flash_attn_backward_ms,flash_attn_total_ms,warmup_regular_attn_fwd_ms,warmup_regular_attn_full_ms,warmup_flash_attn_fwd_ms,warmup_flash_attn_full_ms,forward_speedup,backward_speedup,total_speedup
128,16,0.1,0.53,0.63,0.01,0.4,0.4,145.23,43.93,289.86,1587.38,10.0,1.325,1.575
256,16,0.1,0.59,0.68,0.01,0.32,0.32,2.73,4.97,0.25,1042.88,10.0,1.8437499999999998,2.125
512,16,0.1,0.42,0.52,0.01,0.3,0.32,4.08,1.45,0.25,1.07,10.0,1.4,1.625
1024,16,0.1,0.42,0.53,0.02,0.37,0.38,3.41,1.35,0.22,1.08,5.0,1.135135135135135,1.3947368421052633
2048,16,0.12,0.47,0.58,0.03,0.31,0.34,4.07,1.9,0.24,1.11,4.0,1.5161290322580645,1.7058823529411762
4096,16,0.27,0.69,0.96,0.05,0.34,0.39,3.73,1.93,0.36,1.32,5.4,2.0294117647058822,2.4615384615384612
8192,16,1.13,2.31,3.44,0.11,0.77,0.88,14.15,5.52,0.37,1.58,10.272727272727272,3.0,3.909090909090909
16384,16,4.07,8.54,12.61,0.37,2.68,3.05,6.95,14.49,0.34,2.57,11.000000000000002,3.186567164179104,4.134426229508197
32768,16,15.59,33.14,48.73,1.26,10.74,12.0,17.39,48.13,0.92,3.27,12.373015873015873,3.085661080074488,4.060833333333333
65536,16,61.69,131.38,193.07,4.88,36.2,41.08,65.86,188.88,0.79,1193.54,12.64139344262295,3.6292817679558005,4.69985394352483
128,32,0.09,0.59,0.68,0.01,0.45,0.46,2.91,2.07,257.12,2729.31,9.0,1.3111111111111111,1.4782608695652175
256,32,0.1,0.43,0.53,0.01,0.42,0.43,3.94,2.31,0.73,1.69,10.0,1.0238095238095237,1.232558139534884
512,32,0.11,0.58,0.68,0.01,0.44,0.45,2.67,2.32,0.45,1.96,11.0,1.3181818181818181,1.511111111111111
1024,32,0.11,0.63,0.74,0.02,0.43,0.45,0.82,2.16,0.27,1.62,5.5,1.4651162790697674,1.6444444444444444
2048,32,0.11,0.6,0.71,0.04,0.87,0.91,0.82,2.37,0.34,2.33,2.75,0.689655172413793,0.7802197802197801
4096,32,0.27,0.71,0.98,0.07,2.59,2.65,0.94,2.42,0.38,2.28,3.857142857142857,0.27413127413127414,0.369811320754717
8192,32,1.13,2.31,3.44,0.17,9.55,9.73,16.17,3.56,0.4,1.87,6.64705882352941,0.2418848167539267,0.35354573484069884
16384,32,4.07,8.66,12.73,0.51,37.33,37.84,4.87,5.07,0.33,1.95,7.980392156862745,0.23198499866059472,0.33641649048625794
32768,32,15.6,33.22,48.82,1.8,146.8,148.6,6.55,5.65,0.52,2.9,8.666666666666666,0.2262942779291553,0.3285329744279946
65536,32,61.69,131.49,193.18,7.1,121.21,128.31,13.38,5.3,0.6,8781.3,8.688732394366196,1.0848114842009737,1.5055724417426546
128,64,0.09,0.44,0.54,0.01,0.42,0.43,1.56,5.45,338.28,2.0,9.0,1.0476190476190477,1.255813953488372
256,64,0.11,0.57,0.68,0.01,0.42,0.43,1.25,5.66,0.46,2.37,11.0,1.357142857142857,1.5813953488372094
512,64,0.1,0.63,0.73,0.02,0.43,0.45,1.45,2.06,0.31,1.63,5.0,1.4651162790697674,1.6222222222222222
1024,64,0.12,0.61,0.73,0.03,0.38,0.41,6.5,2.95,0.3,2.54,4.0,1.6052631578947367,1.7804878048780488
2048,64,0.11,0.61,0.72,0.05,0.4,0.45,2.78,5.74,0.4,1.91,2.1999999999999997,1.525,1.5999999999999999
4096,64,0.28,0.69,0.96,0.1,0.67,0.77,2.61,6.14,0.26,1.38,2.8000000000000003,1.0298507462686566,1.2467532467532467
8192,64,1.15,2.37,3.51,0.24,2.2,2.44,1.54,4.76,0.28,1.47,4.791666666666666,1.0772727272727272,1.4385245901639343
16384,64,4.16,8.81,12.97,1.15,8.14,9.29,2.73,5.33,0.35,2.54,3.6173913043478265,1.0823095823095823,1.396124865446717
32768,64,15.94,34.33,50.27,3.55,31.75,35.3,18.35,19.36,0.4,2.78,4.490140845070423,1.0812598425196849,1.4240793201133146
65536,64,63.05,136.29,199.34,12.82,125.5,138.32,63.48,191.9,0.62,2.8,4.918096723868954,1.0859760956175297,1.4411509543088492
128,128,0.09,0.61,0.7,0.01,0.43,0.44,3.67,4.04,5.99,1.71,9.0,1.4186046511627908,1.5909090909090908
256,128,0.11,0.55,0.65,0.02,0.4,0.42,0.94,2.38,0.28,2.5,5.5,1.375,1.5476190476190477
512,128,0.11,0.58,0.69,0.03,0.4,0.43,1.55,2.92,0.39,1.8,3.666666666666667,1.4499999999999997,1.6046511627906976
1024,128,0.1,0.6,0.7,0.06,0.39,0.44,1.74,2.6,0.23,2.01,1.6666666666666667,1.5384615384615383,1.5909090909090908
